Número de orden;cliente_hash;Fecha;Estado de la orden;Estado del pago;Estado del envío;Moneda;Subtotal de productos;Descuento;Costo de envío;Total;Provincia o estado;País;Medio de envío;Medio de pago;Cupón de descuento;Fecha de pago;Fecha de envío;Nombre del producto;Precio del producto;Cantidad del producto;SKU;Canal;Identificador de la orden;Producto Físico;Sucursal de venta;Fecha y hora de cancelación;Motivo de cancelación;Orden editada;Saldo a cobrar / reembolsar;Reembolso;Costo de procesamiento;Cantidad de cuotas;Interés por cuotas;Impuestos;Devolución de cargos;Total neto;Forma de pago;Dinero disponible para retirar a partir de;Estado del contracargo;Fecha de reembolso;Fecha de vencimiento del pago;Venta original
6177;30f1b1096c;;;;;;;;;;;;;;;;;SHOOW TOOLS - FUFFLY (10PAIRS);36000;2;850056827072;;;Sí;;;;;;;;;;;;;;;;;;
6176;173d1ae05f;05/06/2026 14:23:21;Archivada;Recibido;Enviado;ARS;83850.1;0.00;0;83850.1;Capital Federal;Argentina;Siempre EXPRESS Servicio Premium. Te enviamos un WhatsApp el día anterior a tu entrega con un rango horario de solo 2 a 4hs para que no te quedes esperando todo el día. Ahorrá tiempo.;Transferencia;;05/06/2026;08/06/2026;Laneige - Lip Sleeping Mask EX (Vainilla);83850.1;1;8809803532563;Móvil;1988246180;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6175;afc670079a;05/06/2026 13:23:06;Archivada;Recibido;Entregado;ARS;15000;3000.00;0;12000;;Argentina;Retirado en Punto de Venta;Transferencia o depósito;POS-ORDER-1780676443921;05/06/2026;08/06/2026;SHOOW TOOLS - Triangle powder puff (3 units);15000;1;;Punto de venta;1988197842;Sí;Beauty House;;;No;;;;;;;;;Transferencia o depósito;;;;;
6174;edad77d1f3;04/06/2026 14:07:41;Archivada;Recibido;Entregado;ARS;102000;30600.00;0;71400;;Argentina;Retirado en Punto de Venta;Transferencia o depósito;POS-ORDER-1780592839083;04/06/2026;04/06/2026;SHOOW TOOLS - SHOOW YOU (10PAIRS);36000;1;850056827034;Punto de venta;1987376976;Sí;Beauty House;;;No;;;;;;;;;Transferencia o depósito;;;;;
6174;edad77d1f3;;;;;;;;;;;;;;;;;SHOOW TOOLS - VOLUMINOSAS (10PAIRS);36000;1;850056827058;;;Sí;;;;;;;;;;;;;;;;;;
6174;edad77d1f3;;;;;;;;;;;;;;;;;SHOOW TOOLS - ISABEL I (BLACK) (MIXED (8/10/12/14mm));30000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6173;f5de82a063;04/06/2026 13:08:46;Archivada;Recibido;Entregado;ARS;30000;6000.00;0;24000;Capital Federal;Argentina;Beauty House;Transferencia;;04/06/2026;04/06/2026;Schwarzkopf - GOT2B gel;30000;1;052336341456;Móvil;1987323798;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6172;34a3cb6769;03/06/2026 20:59:31;Archivada;Recibido;Entregado;ARS;108000;32400.00;10615.15;86215.15;Catamarca;Argentina;Envío Nube - Andreani a domicilio;Pago Nube;;03/06/2026;25/06/2026;SHOOW TOOLS - FOXY #1 (10PAIRS);36000;2;850056827089;Móvil;1986811312;Sí;;;;No;;;6296.80;1;;;;79918.35;Tarjeta de crédito;03/06/2026 20:59:33;;;;
6172;34a3cb6769;;;;;;;;;;;;;;;;;SHOOW TOOLS - FOXY CAT EYE (10PAIRS);36000;1;850056827119;;;Sí;;;;;;;;;;;;;;;;;;
6171;892ab0a937;03/06/2026 13:32:46;Archivada;Recibido;Enviado;ARS;102000;30600.00;9500;80900;Buenos Aires;Argentina;Siempre EXPRESS Servicio Premium. Te enviamos un WhatsApp el día anterior a tu entrega con un rango horario de solo 2 a 4hs para que no te quedes esperando todo el día. Ahorrá tiempo.;Transferencia;;03/06/2026;08/06/2026;SHOOW TOOLS - FOXY CAT EYE (10PAIRS);36000;1;850056827119;Móvil;1986469093;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6171;892ab0a937;;;;;;;;;;;;;;;;;SHOOW TOOLS - SO CLASSY (10PAIRS);36000;1;850056827027;;;Sí;;;;;;;;;;;;;;;;;;
6171;892ab0a937;;;;;;;;;;;;;;;;;SHOOW TOOLS - CLARA BOW (BLACK);30000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6170;6a57bd4f04;02/06/2026 12:09:37;Archivada;Recibido;Entregado;ARS;92000.08;12000.00;0;80000.08;Capital Federal;Argentina;MANDO A RETIRAR ;Mercado Pago;;02/06/2026;08/06/2026;SHOOW TOOLS - Elizabeth Taylor (BLACK);30000;1;;Móvil;1985498945;Sí;;;;No;;;;1;;;;;Tarjeta de crédito;;;;;
6170;6a57bd4f04;;;;;;;;;;;;;;;;;SHOOW TOOLS - TWIGGY (BLACK) (MIXED (8/10/12/14mm));30000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6170;6a57bd4f04;;;;;;;;;;;;;;;;;ESSENCE - MÁSCARA LASH PRINCESS FALSE LASH EFFECT SCULPTED VOLUMEN;32000.08;1;425123222619;;;Sí;;;;;;;;;;;;;;;;;;
6169;af5a8eb1ef;02/06/2026 11:16:00;Archivada;Recibido;Entregado;ARS;96000;38880.00;10312.7;67432.7;Buenos Aires;Argentina;Envío Nube - Andreani a domicilio;Mercado Pago;;02/06/2026;06/06/2026;SHOOW TOOLS - FOXY CAT EYE (10PAIRS);36000;1;850056827119;Móvil;1965304458;Sí;;;;No;;;;1;;;;;Tarjeta de crédito;;;;;
6169;af5a8eb1ef;;;;;;;;;;;;;;;;;SHOOW TOOLS - CLARA BOW (BLACK);30000;2;;;;Sí;;;;;;;;;;;;;;;;;;
6168;b6e4d5f39b;01/06/2026 23:07:16;Archivada;Recibido;Enviado;ARS;567000;283500.00;7000;290500;Gran Buenos Aires;Argentina;Siempre EXPRESS Servicio Premium. Te enviamos un WhatsApp el día anterior a tu entrega con un rango horario de solo 2 a 4hs para que no te quedes esperando todo el día. Ahorrá tiempo.;Pago Nube;;01/06/2026;02/06/2026;SHOOW TOOLS - TWIGGY (BLACK) (MIXED (8/10/12/14mm));30000;3;;Móvil;1981960048;Sí;;;;No;;;21216.96;3;28745.55;;;240537.49;Tarjeta de crédito;01/06/2026 23:08:28;;;;
6168;b6e4d5f39b;;;;;;;;;;;;;;;;;SHOOW TOOLS - TAYLOR (BLACK) (MIXED (8/10/12/14mm));30000;3;;;;Sí;;;;;;;;;;;;;;;;;;
6168;b6e4d5f39b;;;;;;;;;;;;;;;;;SHOOW TOOLS - ISABEL I (BLACK) (8mm/10mm);30000;3;;;;Sí;;;;;;;;;;;;;;;;;;
6168;b6e4d5f39b;;;;;;;;;;;;;;;;;SHOOW TOOLS - CLARA BOW (BLACK);30000;6;;;;Sí;;;;;;;;;;;;;;;;;;
6168;b6e4d5f39b;;;;;;;;;;;;;;;;;SHOOW TOOLS - Elizabeth Taylor (BLACK);30000;3;;;;Sí;;;;;;;;;;;;;;;;;;
6168;b6e4d5f39b;;;;;;;;;;;;;;;;;SHOOW TOOLS - WET N WILD (BLACK);27000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6167;96de3b771e;01/06/2026 18:22:33;Archivada;Recibido;Entregado;ARS;30000;6000.00;0;24000;Capital Federal;Argentina;MANDO A RETIRAR ;Transferencia;;01/06/2026;02/06/2026;SHOOW TOOLS - TWIGGY (BLACK) (8mm/10mm);30000;1;;Móvil;1984936446;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6166;80829d64f4;01/06/2026 14:18:47;Archivada;Recibido;Enviado;ARS;84600.08;6000.00;7000;85600.08;Gran Buenos Aires;Argentina;Siempre EXPRESS Servicio Premium. Te enviamos un WhatsApp el día anterior a tu entrega con un rango horario de solo 2 a 4hs para que no te quedes esperando todo el día. Ahorrá tiempo.;Mercado Pago;;01/06/2026;02/06/2026;NARS - Mini Radiant Creamy Concealer (Creme brulee);54600.08;1;607845019756;Web;1984731331;Sí;;;;No;;;;;;;;;Billetera virtual;;;;;
6166;80829d64f4;;;;;;;;;;;;;;;;;SHOOW TOOLS - Elizabeth Taylor (BLACK);30000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6165;82525074fa;01/06/2026 13:28:38;Archivada;Recibido;Enviado;ARS;90000;27000.00;4000;67000;Capital Federal;Argentina;Siempre EXPRESS Servicio Premium. Te enviamos un WhatsApp el día anterior a tu entrega con un rango horario de solo 2 a 4hs para que no te quedes esperando todo el día. Ahorrá tiempo.;Mercado Pago;;01/06/2026;02/06/2026;SHOOW TOOLS - ISABEL I (BLACK) (8mm/10mm);30000;3;;Móvil;1983326664;Sí;;;;No;;;;;;;;;Billetera virtual;;;;;
6164;e14ad5b2f2;01/06/2026 12:28:40;Archivada;Recibido;Enviado;ARS;51000;15300.00;4000;39700;Capital Federal;Argentina;Siempre EXPRESS Servicio Premium. Te enviamos un WhatsApp el día anterior a tu entrega con un rango horario de solo 2 a 4hs para que no te quedes esperando todo el día. Ahorrá tiempo.;Transferencia;;01/06/2026;01/06/2026;SHOOW TOOLS - KIT DE RETOQUE;18000;1;850056827249;Web;1984645009;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6164;e14ad5b2f2;;;;;;;;;;;;;;;;;SHOOW TOOLS - The triangle powder puff duo;15000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6164;e14ad5b2f2;;;;;;;;;;;;;;;;;SHOOW TOOLS - The clippers quartette (hebillas) Hair clips;18000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6163;4497eb90fd;01/06/2026 12:22:06;Archivada;Recibido;Enviado;ARS;90000;27000.00;4000;67000;Capital Federal;Argentina;EXPRESS;Transferencia o depósito;POS-ORDER-1780327176617;01/06/2026;01/06/2026;SHOOW TOOLS - TWIGGY (BLACK) (MIXED (8/10/12/14mm));30000;1;;Punto de venta;1984647690;Sí;Beauty House;;;No;;;;;;;;;Transferencia o depósito;;;;;
6163;4497eb90fd;;;;;;;;;;;;;;;;;SHOOW TOOLS - ISABEL I (BLACK) (MIXED (8/10/12/14mm));30000;2;;;;Sí;;;;;;;;;;;;;;;;;;
6161;73ef6b53ac;31/05/2026 14:01:29;Archivada;Recibido;Entregado;ARS;128000;38400.00;7988;97588;Buenos Aires;Argentina;Punto de retiro;Transferencia;;31/05/2026;09/06/2026;SHOOW TOOLS - CLARA BOW (BLACK);30000;2;;Web;1983820590;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6161;73ef6b53ac;;;;;;;;;;;;;;;;;SHOOW TOOLS - ISABEL I (BLACK) (MIXED (8/10/12/14mm));30000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6161;73ef6b53ac;;;;;;;;;;;;;;;;;SHOOW TOOLS - SET UP MAKEUP ORGANIZER + 2 DIVIDERS;38000;1;85005682324;;;Sí;;;;;;;;;;;;;;;;;;
6160;c7c8a8d9de;31/05/2026 11:40:06;Archivada;Recibido;Enviado;ARS;120000;36000.00;4000;88000;Capital Federal;Argentina;Siempre EXPRESS Servicio Premium. Te enviamos un WhatsApp el día anterior a tu entrega con un rango horario de solo 2 a 4hs para que no te quedes esperando todo el día. Ahorrá tiempo.;Mercado Pago;;31/05/2026;01/06/2026;SHOOW TOOLS - TAYLOR (BLACK) (8mm/10mm);30000;3;;Móvil;1983727297;Sí;;;;No;;;;1;;;;;Tarjeta de crédito;;;;;
6160;c7c8a8d9de;;;;;;;;;;;;;;;;;SHOOW TOOLS - TAYLOR (BLACK) (MIXED (8/10/12/14mm));30000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6159;e22c8b8cf2;31/05/2026 00:55:59;Archivada;Recibido;Entregado;ARS;148000;32400.00;9827.4;125427.4;Córdoba;Argentina;Envío Nube - Andreani a domicilio;Mercado Pago;;31/05/2026;19/06/2026;SHOOW TOOLS - NATURAL SHOOW (10 PAIRS);36000;1;850056827003;Móvil;1983532578;Sí;;;;No;;;;;;;;;Billetera virtual;;;;;
6159;e22c8b8cf2;;;;;;;;;;;;;;;;;SHOOW TOOLS - SO CLASSY (10PAIRS);36000;1;850056827027;;;Sí;;;;;;;;;;;;;;;;;;
6159;e22c8b8cf2;;;;;;;;;;;;;;;;;SHOOW TOOLS - SOFTLY BEAUTIFUL (10PAIRS);36000;1;850056827065;;;Sí;;;;;;;;;;;;;;;;;;
6159;e22c8b8cf2;;;;;;;;;;;;;;;;;(MAYORISTA) AOA STUDIO - PEGA DE PESTAÑAS LASH GLUE - (4 unid);40000;1;3D24A;;;Sí;;;;;;;;;;;;;;;;;;
6158;48060b7dd0;30/05/2026 00:45:51;Archivada;Recibido;Entregado;ARS;18000;3600.00;9279;23679;Santa Fe;Argentina;Envío Nube - Correo Argentino Clásico a domicilio;Mercado Pago;;30/05/2026;09/06/2026;SHOOW TOOLS - KIT DE RETOQUE;18000;1;850056827249;Móvil;1978540276;Sí;;;;No;;;;;;;;;Billetera virtual;;;;;
6157;03f3b7366c;29/05/2026 17:47:31;Archivada;Recibido;Entregado;ARS;144000;43200.00;0;100800;;Argentina;Retirado en Punto de Venta;Transferencia o depósito;POS-ORDER-1780087343106;29/05/2026;29/05/2026;SHOOW TOOLS - FOXY CAT EYE (10PAIRS);36000;2;850056827119;Punto de venta;1982546886;Sí;Beauty House;;;No;;;;;;;;;Transferencia o depósito;;;;;
6157;03f3b7366c;;;;;;;;;;;;;;;;;SHOOW TOOLS - SO CLASSY (10PAIRS);36000;2;850056827027;;;Sí;;;;;;;;;;;;;;;;;;
6156;727c755852;28/05/2026 15:46:14;Archivada;Recibido;Entregado;ARS;30000;6000.00;0;24000;Capital Federal;Argentina;MANDO A RETIRAR ;Mercado Pago;;28/05/2026;29/05/2026;SHOOW TOOLS - TAYLOR (BLACK) (MIXED (8/10/12/14mm));30000;1;;Móvil;1981635155;Sí;;;;No;;;;;;;;;Billetera virtual;;;;;
6155;ba64b383c8;27/05/2026 23:50:08;Archivada;Recibido;Entregado;ARS;90000;27000.00;0;63000;Capital Federal;Argentina;Beauty House;Pago Nube;;27/05/2026;28/05/2026;SHOOW TOOLS - TAYLOR (BLACK) (MIXED (8/10/12/14mm));30000;1;;Móvil;1963747514;Sí;;;;No;;;4601.26;1;;1575.00;;56823.74;Tarjeta de crédito;27/05/2026 23:50:11;;;;
6155;ba64b383c8;;;;;;;;;;;;;;;;;SHOOW TOOLS - ISABEL I (BLACK) (8mm/10mm);30000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6155;ba64b383c8;;;;;;;;;;;;;;;;;SHOOW TOOLS - ISABEL I (CHOCOLATE) (8/8/10/12 mm);30000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6154;648895ae31;27/05/2026 20:20:41;Archivada;Recibido;Enviado;ARS;10000;2000.00;4000;12000;Capital Federal;Argentina;Siempre EXPRESS Servicio Premium. Te enviamos un WhatsApp el día anterior a tu entrega con un rango horario de solo 2 a 4hs para que no te quedes esperando todo el día. Ahorrá tiempo.;Transferencia;;28/05/2026;29/05/2026;Italia deluxe - Delineadores de labios (Hazelnut);10000;1;082353010646;Móvil;1979044763;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6153;6102fe5e79;26/05/2026 18:31:28;Archivada;Recibido;Enviado;ARS;30000;6000.00;7000;31000;Gran Buenos Aires;Argentina;Siempre EXPRESS Servicio Premium. Te enviamos un WhatsApp el día anterior a tu entrega con un rango horario de solo 2 a 4hs para que no te quedes esperando todo el día. Ahorrá tiempo.;Transferencia;;27/05/2026;28/05/2026;SHOOW TOOLS - CLARA BOW (BLACK);30000;1;;Móvil;1980195123;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6152;30f1b1096c;26/05/2026 13:43:24;Archivada;Recibido;Entregado;ARS;162000;162000.00;0;0;;Argentina;Retirado en Punto de Venta;LINK DE PAGO 3 CUOTAS;POS-ORDER-1779813735197;26/05/2026;26/05/2026;SHOOW TOOLS - NATURAL SHOOW (10 PAIRS);36000;1;850056827003;Punto de venta;1979993805;Sí;Beauty House;;;No;;;;;;;;;A convenir;;;;;
6152;30f1b1096c;;;;;;;;;;;;;;;;;SHOOW TOOLS - FOXY CAT EYE (10PAIRS);36000;1;850056827119;;;Sí;;;;;;;;;;;;;;;;;;
6152;30f1b1096c;;;;;;;;;;;;;;;;;SHOOW TOOLS - TWIGGY (BLACK) (MIXED (8/10/12/14mm));30000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6152;30f1b1096c;;;;;;;;;;;;;;;;;SHOOW TOOLS - CLARA BOW (BLACK);30000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6152;30f1b1096c;;;;;;;;;;;;;;;;;SHOOW TOOLS - TAYLOR (BLACK) (MIXED (8/10/12/14mm));30000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6151;30f1b1096c;26/05/2026 13:39:36;Archivada;Recibido;No está empaquetado;ARS;660000;660000.00;0;0;;Argentina;Retirado en Punto de Venta;LINK DE PAGO 3 CUOTAS;POS-ORDER-1779813558576;26/05/2026;;SHOOW TOOLS - Triangle powder puff (3 units);15000;20;;Punto de venta;1979990879;Sí;Beauty House;;;No;;;;;;;;;A convenir;;;;;
6151;30f1b1096c;;;;;;;;;;;;;;;;;SHOOW TOOLS - The clippers quartette (hebillas) Hair clips;18000;20;;;;Sí;;;;;;;;;;;;;;;;;;
6150;8b070da1a7;26/05/2026 13:36:25;Archivada;Recibido;No está empaquetado;ARS;1746000;1047600.00;0;698400;;Argentina;Retirado en Punto de Venta;A convenir;POS-ORDER-1779813105865;03/06/2026;;SHOOW TOOLS - NATURAL SHOOW (10 PAIRS);36000;6;850056827003;Punto de venta;1979988515;Sí;Beauty House;;;No;;;;;;;;;;;;;;
6150;8b070da1a7;;;;;;;;;;;;;;;;;SHOOW TOOLS - FOXY CAT EYE (10PAIRS);36000;6;850056827119;;;Sí;;;;;;;;;;;;;;;;;;
6150;8b070da1a7;;;;;;;;;;;;;;;;;SHOOW TOOLS - CLARA BOW (BLACK);30000;6;;;;Sí;;;;;;;;;;;;;;;;;;
6150;8b070da1a7;;;;;;;;;;;;;;;;;SHOOW TOOLS - Elizabeth Taylor (BLACK);30000;6;;;;Sí;;;;;;;;;;;;;;;;;;
6150;8b070da1a7;;;;;;;;;;;;;;;;;SHOOW TOOLS - TAYLOR (BLACK) (MIXED (8/10/12/14mm));30000;6;;;;Sí;;;;;;;;;;;;;;;;;;
6150;8b070da1a7;;;;;;;;;;;;;;;;;SHOOW TOOLS - TWIGGY (BLACK) (MIXED (8/10/12/14mm));30000;6;;;;Sí;;;;;;;;;;;;;;;;;;
6150;8b070da1a7;;;;;;;;;;;;;;;;;SHOOW TOOLS - ISABEL I (CHOCOLATE) (8/8/10/12 mm);30000;6;;;;Sí;;;;;;;;;;;;;;;;;;
6150;8b070da1a7;;;;;;;;;;;;;;;;;SHOOW TOOLS - Triangle powder puff (3 units);15000;6;;;;Sí;;;;;;;;;;;;;;;;;;
6150;8b070da1a7;;;;;;;;;;;;;;;;;SHOOW TOOLS - The clippers quartette (hebillas) Hair clips;18000;6;;;;Sí;;;;;;;;;;;;;;;;;;
6150;8b070da1a7;;;;;;;;;;;;;;;;;SHOOW TOOLS - SO CLASSY (10PAIRS);36000;6;850056827027;;;Sí;;;;;;;;;;;;;;;;;;
6148;4e4b0c05ea;22/05/2026 11:35:03;Archivada;Recibido;Entregado;ARS;72000;14400.00;9279;66879;Córdoba;Argentina;Envío Nube - Correo Argentino Clásico a domicilio;Transferencia;;22/05/2026;29/05/2026;SHOOW TOOLS - SO CLASSY (10PAIRS);36000;1;850056827027;Móvil;1976992785;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6148;4e4b0c05ea;;;;;;;;;;;;;;;;;SHOOW TOOLS - FOXY CAT EYE (10PAIRS);36000;1;850056827119;;;Sí;;;;;;;;;;;;;;;;;;
6147;4a7f41f360;21/05/2026 21:32:17;Archivada;Recibido;Enviado;ARS;36000;7200.00;4000;32800;Capital Federal;Argentina;Siempre EXPRESS Servicio Premium. Te enviamos un WhatsApp el día anterior a tu entrega con un rango horario de solo 2 a 4hs para que no te quedes esperando todo el día. Ahorrá tiempo.;Mercado Pago;;21/05/2026;26/05/2026;SHOOW TOOLS - NATURAL SHOOW (10 PAIRS);36000;1;850056827003;Móvil;1973548934;Sí;;;;No;;;;;;;;;Billetera virtual;;;;;
6146;044ab7af34;21/05/2026 20:40:22;Archivada;Recibido;Entregado;ARS;87000.16;26100.05;5261;66161.11;Gran Buenos Aires;Argentina;Punto de retiro;Pago Nube;;21/05/2026;29/05/2026;SHOOW TOOLS - MINI LIP CONTAINER (5 unid);18000.08;1;;Móvil;1976608484;Sí;;;;No;;;4832.14;1;;;;61328.97;Tarjeta de crédito;21/05/2026 20:40:26;;;;
6146;044ab7af34;;;;;;;;;;;;;;;;;SHOOW TOOLS - MINI POWDER CONTAINER (5 PZ);18000.08;1;;;;Sí;;;;;;;;;;;;;;;;;;
6146;044ab7af34;;;;;;;;;;;;;;;;;SHOOW TOOLS - Triangle powder puff (3 units);15000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6146;044ab7af34;;;;;;;;;;;;;;;;;SHOOW TOOLS - SOFT & SHORT (10PAIRS);36000;1;850056827010;;;Sí;;;;;;;;;;;;;;;;;;
6145;659f31c970;21/05/2026 20:17:45;Cancelada;Recibido;No está empaquetado;ARS;54600.08;10920.02;4000;47680.06;Capital Federal;Argentina;Siempre EXPRESS Servicio Premium. Te enviamos un WhatsApp el día anterior a tu entrega con un rango horario de solo 2 a 4hs para que no te quedes esperando todo el día. Ahorrá tiempo.;Transferencia;;22/05/2026;;NARS - Mini Radiant Creamy Concealer (Vainilla);54600.08;1;607845058113;Web;1976592953;Sí;;22/05/2026 14:39:16;El cliente cambió de idea;No;;;;;;;;;Transferencia o depósito;;;;;
6143;5a0f74e5af;21/05/2026 13:16:41;Archivada;Recibido;Enviado;ARS;72000;14400.00;4000;61600;Capital Federal;Argentina;Siempre EXPRESS Servicio Premium. Te enviamos un WhatsApp el día anterior a tu entrega con un rango horario de solo 2 a 4hs para que no te quedes esperando todo el día. Ahorrá tiempo.;Transferencia;;21/05/2026;26/05/2026;SHOOW TOOLS - FOXY CAT EYE (10PAIRS);36000;1;850056827119;Móvil;1976294339;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6143;5a0f74e5af;;;;;;;;;;;;;;;;;SHOOW TOOLS - SO CLASSY (10PAIRS);36000;1;850056827027;;;Sí;;;;;;;;;;;;;;;;;;
6142;144671cf8f;21/05/2026 13:03:11;Archivada;Recibido;Entregado;ARS;60000;12000.00;9920;57920;Buenos Aires;Argentina;Envío Nube - Correo Argentino Clásico a domicilio;Mercado Pago;;21/05/2026;29/05/2026;SHOOW TOOLS - CLARA BOW (BLACK);30000;1;;Móvil;1974220054;Sí;;;;No;;;;1;;;;;Tarjeta de crédito;;;;;
6142;144671cf8f;;;;;;;;;;;;;;;;;SHOOW TOOLS - TWIGGY (BLACK) (MIXED (8/10/12/14mm));30000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6141;5334b6ab37;20/05/2026 23:53:55;Archivada;Recibido;Entregado;ARS;83850.1;16770.02;9827.4;76907.48;Capital Federal;Argentina;Envío Nube - Andreani a domicilio;Transferencia;;21/05/2026;28/05/2026;Laneige - Lip Sleeping Mask EX (Vainilla);83850.1;1;8809803532563;Móvil;1975964865;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6140;aff0e87e16;20/05/2026 15:58:08;Archivada;Recibido;Entregado;ARS;30000;6000.00;9599.02;33599.02;Capital Federal;Argentina;Envío Nube - Andreani a domicilio;Mercado Pago;;20/05/2026;28/05/2026;SHOOW TOOLS - ISABEL I (BLACK) (MIXED (8/10/12/14mm));30000;1;;Móvil;1975562302;Sí;;;;No;;;;;;;;;Billetera virtual;;;;;
6139;4248862374;20/05/2026 12:05:04;Archivada;Recibido;Enviado;ARS;36000;7200.00;4000;32800;Capital Federal;Argentina;EXPRESS;Transferencia o depósito;POS-ORDER-1779289490704;20/05/2026;20/05/2026;SHOOW TOOLS - FOXY #1 (10PAIRS);36000;1;850056827089;Punto de venta;1975395560;Sí;Beauty House;;;No;;;;;;;;;Transferencia o depósito;;;;;
6138;ec6e8f3474;20/05/2026 11:40:15;Archivada;Recibido;Enviado;ARS;60000;12000.00;4000;52000;Capital Federal;Argentina;Siempre EXPRESS Servicio Premium. Te enviamos un WhatsApp el día anterior a tu entrega con un rango horario de solo 2 a 4hs para que no te quedes esperando todo el día. Ahorrá tiempo.;Transferencia;;20/05/2026;20/05/2026;SHOOW TOOLS - ISABEL I (BLACK) (MIXED (8/10/12/14mm));30000;2;;Móvil;1975374934;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6137;30f1b1096c;20/05/2026 09:54:59;Archivada;Recibido;Entregado;ARS;60000;59400.00;0;600;;Argentina;Retirado en Punto de Venta;Otro;POS-ORDER-1779281692973;20/05/2026;20/05/2026;SHOOW TOOLS - ISABEL I (BLACK) (8mm/10mm);30000;1;;Punto de venta;1975292639;Sí;Beauty House;;;No;;;;;;;;;A convenir;;;;;
6137;30f1b1096c;;;;;;;;;;;;;;;;;SHOOW TOOLS - TAYLOR (BLACK) (8mm/10mm);30000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6136;81065a4e9f;19/05/2026 22:37:02;Archivada;Recibido;Entregado;ARS;30000;6000.00;9279;33279;Entre Ríos;Argentina;Envío Nube - Correo Argentino Clásico a domicilio;Pago Nube;;19/05/2026;26/05/2026;SHOOW TOOLS - ISABEL I (BLACK) (MIXED (8/10/12/14mm));30000;1;;Móvil;1969959213;Sí;;;;No;;;2430.56;1;;;;30848.44;Tarjeta de crédito;19/05/2026 22:37:06;;;;
6135;a9d47d0777;19/05/2026 22:28:21;Archivada;Recibido;Entregado;ARS;90000;14400.00;9279;84879;Buenos Aires;Argentina;Envío Nube - Correo Argentino Clásico a domicilio;Transferencia;;20/05/2026;28/05/2026;SHOOW TOOLS - ICONIC VOLUME (10PARES);36000;1;850056827041;Móvil;1975023220;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6135;a9d47d0777;;;;;;;;;;;;;;;;;SHOOW TOOLS - FOXY #1 (10PAIRS);36000;1;850056827089;;;Sí;;;;;;;;;;;;;;;;;;
6135;a9d47d0777;;;;;;;;;;;;;;;;;AOA STUDIO - PEGA DE PESTAÑAS LASH GLUE;18000;1;3D24A;;;Sí;;;;;;;;;;;;;;;;;;
6133;30f1b1096c;19/05/2026 20:52:02;Archivada;Recibido;Entregado;ARS;888000;532800.00;0;355200;;Argentina;Retirado en Punto de Venta;Transferencia o depósito;POS-ORDER-1779234684350;19/05/2026;19/05/2026;SHOOW TOOLS - ISABEL I (BLACK) (MIXED (8/10/12/14mm));30000;7;;Punto de venta;1974942700;Sí;Beauty House;;;No;;;;;;;;;Transferencia o depósito;;;;19/05/2026 20:52:03;
6133;30f1b1096c;;;;;;;;;;;;;;;;;SHOOW TOOLS - ISABEL I (BLACK) (8mm/10mm);30000;8;;;;Sí;;;;;;;;;;;;;;;;;;
6133;30f1b1096c;;;;;;;;;;;;;;;;;SHOOW TOOLS - TAYLOR (BLACK) (MIXED (8/10/12/14mm));30000;7;;;;Sí;;;;;;;;;;;;;;;;;;
6133;30f1b1096c;;;;;;;;;;;;;;;;;SHOOW TOOLS - The clippers quartette (hebillas) Hair clips;18000;4;;;;Sí;;;;;;;;;;;;;;;;;;
6133;30f1b1096c;;;;;;;;;;;;;;;;;SHOOW TOOLS - WET N WILD (CLUSTER) 8/10/12/14MM;30000;4;;;;Sí;;;;;;;;;;;;;;;;;;
6133;30f1b1096c;;;;;;;;;;;;;;;;;SHOOW TOOLS - FOXY CAT EYE (1PAIR);12000;3;;;;Sí;;;;;;;;;;;;;;;;;;
